Name,Formula,Class,TC,DB,count,Molecular Weight,Sample,RT [min],Area
PC(16:1_18:1),C42 H80 N O8 P,PC,34,02,52,757.55939,Area: cbr_n62.raw (F1),9.268,342618974.166132
PC(16:1_16:1),C40 H76 N O8 P,PC,32,02,52,729.52826,Area: cbr_n62.raw (F1),7.528,146003678.950012
PE(16:1_18:1),C39 H74 N O8 P,PE,34,02,52,715.51311,Area: cbr_n62.raw (F1),9.693,168160499.088098
TG(4:0_18:1_16:0) +NH4,C41 H76 O6,TG,38,01,45,664.56156,Area: cbr_n62.raw (F1),17.518,52914873.4848937
PC(18:0_18:2),C44 H84 N O8 P,PC,36,02,52,785.5906,Area: cbr_n62.raw (F1),11.319,125386085.339467
PC(16:0_16:1),C40 H78 N O8 P,PC,32,01,52,731.54394,Area: cbr_n62.raw (F1),9.116,198015593.146968
PC(16:0_18:1),C42 H82 N O8 P,PC,34,01,52,759.57513,Area: cbr_n62.raw (F1),11.175,199819662.796747
TG(16:0_16:0_16:1) +NH4,C51 H96 O6,TG,48,01,49,804.71763,Area: cbr_n62.raw (F1),21.056,2263784.70154888
TG(16:1_16:1_16:0) +NH4,C51 H94 O6,TG,48,02,49,802.70214,Area: cbr_n62.raw (F1),20.595,359066025.89503
TG(16:0_16:1_18:1) +NH4,C53 H98 O6,TG,50,02,52,830.73307,Area: cbr_n62.raw (F1),21.021,88377.3771397148
TG(16:0_16:0_18:1) +NH4,C53 H100 O6,TG,50,01,47,832.74885,Area: cbr_n62.raw (F1),21.39,270621574.83128
PE(16:0_18:1),C39 H76 N O8 P,PE,34,01,52,717.52894,Area: cbr_n62.raw (F1),11.685,111137572.424532
PE(18:1_18:1),C41 H78 N O8 P,PE,36,02,52,743.54441,Area: cbr_n62.raw (F1),11.827,84593170.5552634
TG(16:0_18:1_18:1) +NH4,C55 H102 O6,TG,52,02,33,858.76436,Area: cbr_n62.raw (F1),21.356,35739.0634165474
PE(18:0_18:3),C41 H76 N O8 P,PE,36,03,52,741.52894,Area: cbr_n62.raw (F1),10.098,30143682.8289572
PC(16:0_18:3),C42 H78 N O8 P,PC,34,03,52,755.54391,Area: cbr_n62.raw (F1),7.879,72529247.3701929
PC(18:1_18:3),C44 H80 N O8 P,PC,36,04,52,781.55948,Area: cbr_n62.raw (F1),8.396,79320307.1162146
PE(16:1_16:1),C37 H70 N O8 P,PE,32,02,52,687.48206,Area: cbr_n62.raw (F1),7.856,31136633.9715922
PC(18:1_18:2),C44 H82 N O8 P,PC,36,03,52,783.57498,Area: cbr_n62.raw (F1),9.671,117410960.484097
TG(16:1_16:1_18:1) +NH4,C53 H96 O6,TG,50,03,19,828.71772,Area: cbr_n62.raw (F1),20.571,250842284.869567
TG(16:0_12:0_16:1) +NH4,C47 H88 O6,TG,44,01,31,748.65527,Area: cbr_n62.raw (F1),19.999,7467.13680350977
LPC(18:1),C26 H52 N O7 P,LPC,18,01,51,521.34616,Area: cbr_n62.raw (F1),3.023,33383156.8950683
TG(16:1_16:1_16:1) +NH4,C51 H92 O6,TG,48,03,39,800.68646,Area: cbr_n62.raw (F1),19.98,164806697.80062
PE(16:1_18:2),C39 H72 N O8 P,PE,34,03,52,713.49779,Area: cbr_n62.raw (F1),8.208,40305368.3225605
PE(16:0_16:1),C37 H72 N O8 P,PE,32,01,52,689.49767,Area: cbr_n62.raw (F1),9.55,41545691.0278122
LPC(16:1),C24 H48 N O7 P,LPC,16,01,52,493.31494,Area: cbr_n62.raw (F1),2.151,29178013.0996081
PE(12:0p_6:0),C23 H46 N O7 P,PE,18,0p,51,479.29985,Area: cbr_n62.raw (F1),3.141,18117507.6123495
TG(4:0_16:1_16:0) +NH4,C39 H72 O6,TG,36,01,8,636.53048,Area: cbr_n62.raw (F1),16.299,60157933.6337994
PC(18:0_18:1),C44 H86 N O8 P,PC,36,01,39,787.60654,Area: cbr_n62.raw (F1),13.716,25714800.6963183
PE(18:2_18:2),C41 H74 N O8 P,PE,36,04,52,739.51327,Area: cbr_n62.raw (F1),8.773,62375973.2467456
PE(12:0p_24:0),C41 H82 N O7 P,PE,36,0p,52,731.58125,Area: cbr_n62.raw (F1),15.623,20124707.1488021
TG(16:1_14:0_16:1) +NH4,C49 H90 O6,TG,46,02,36,774.67094,Area: cbr_n62.raw (F1),20.002,59741.6386621768
TG(4:0_16:1_14:0) +NH4,C37 H68 O6,TG,34,01,30,608.49918,Area: cbr_n62.raw (F1),14.396,22418.4951420837
PE(18:0e_18:3),C41 H78 N O7 P,PE,36,3e,52,727.54987,Area: cbr_n62.raw (F1),12.386,27717628.0249949
PC(16:0_18:3),C42 H78 N O8 P,PC,34,03,50,755.54394,Area: cbr_n62.raw (F1),8.295,47713463.6707112
PE(18:0_18:1),C41 H80 N O8 P,PE,36,01,52,745.56043,Area: cbr_n62.raw (F1),14.175,26296549.1336562
PC(16:1_18:3),C42 H76 N O8 P,PC,34,04,52,753.52827,Area: cbr_n62.raw (F1),6.87,37814536.3657038
PE(10:0p_6:0),C21 H42 N O7 P,PE,16,0p,52,451.2687,Area: cbr_n62.raw (F1),2.237,6842644.1200134
PI(16:1_18:1),C43 H79 O13 P,PI,34,02,52,834.52418,Area: cbr_n62.raw (F1),8.036,8411045.80034819
PS(16:1_20:1),C42 H78 N O10 P,PS,36,02,27,787.53441,Area: cbr_n62.raw (F1),10.09,16218874.2701944
PE(12:0p_22:0),C39 H78 N O7 P,PE,34,0p,52,703.54997,Area: cbr_n62.raw (F1),13.475,6979636.72534782
PC(16:1_14:0),C38 H74 N O8 P,PC,30,01,52,703.5128,Area: cbr_n62.raw (F1),7.396,8119742.77433677
PE(18:0_18:3),C41 H76 N O8 P,PE,36,03,50,741.52901,Area: cbr_n62.raw (F1),10.816,8068994.52394475
PE(18:3_18:2),C41 H72 N O8 P,PE,36,05,52,737.49752,Area: cbr_n62.raw (F1),7.46,15529850.9584258
PE(18:0e_18:2),C41 H80 N O7 P,PE,36,2e,52,729.56553,Area: cbr_n62.raw (F1),14.008,7179485.14981586
LPC(18:2),C26 H50 N O7 P,LPC,18,02,51,519.33065,Area: cbr_n62.raw (F1),2.359,6539031.67581044
PE(18:0p_18:1),C41 H80 N O7 P,PE,36,1p,52,729.56563,Area: cbr_n62.raw (F1),15.278,19758649.3344304
PE(16:1_18:2),C39 H72 N O8 P,PE,34,03,50,713.49786,Area: cbr_n62.raw (F1),8.683,16586747.7959314
DG(16:0_18:1) +NH4,C37 H70 O5,DG,34,01,52,594.52022,Area: cbr_n62.raw (F1),15.198,5041103.8890561
PE(16:1_18:3),C39 H70 N O8 P,PE,34,04,52,711.48222,Area: cbr_n62.raw (F1),7.145,14196174.6742088
PC(18:0_16:0),C42 H84 N O8 P,PC,34,00,48,761.59081,Area: cbr_n62.raw (F1),13.53,7610387.54852652
PS(39:1),C45 H86 N O10 P,PS,39,01,52,831.59848,Area: cbr_n62.raw (F1),11.321,9076155.66776765
PE(18:2_18:2),C41 H74 N O8 P,PE,36,04,28,739.51326,Area: cbr_n62.raw (F1),8.565,1708155.25929631
PC(18:3_18:2),C44 H78 N O8 P,PC,36,05,51,779.54377,Area: cbr_n62.raw (F1),7.173,18201050.3667885
CerP(d21:2_18:0+O),C39 H76 N O7 P,CerP,d39,2+O,50,701.5334,Area: cbr_n62.raw (F1),11.02,67387.1099545466
PE(18:3_18:3),C41 H70 N O8 P,PE,36,06,52,735.4822,Area: cbr_n62.raw (F1),6.525,15657247.8043036
PE(8:1e_10:1),C23 H44 N O7 P,PE,18,2e,52,477.28441,Area: cbr_n62.raw (F1),2.477,4290146.08904238
TG(16:1_18:1_6:0) +NH4,C43 H78 O6,TG,40,02,16,690.57705,Area: cbr_n62.raw (F1),17.509,13767122.8421756
LPC(16:0),C24 H50 N O7 P,LPC,16,00,49,495.33073,Area: cbr_n62.raw (F1),2.836,2164116.8495706
PI(16:0_16:1),C41 H77 O13 P,PI,32,01,52,808.50874,Area: cbr_n62.raw (F1),7.9,5326104.72511785
PE(12:0p_6:0),C23 H46 N O7 P,PE,18,0p,36,479.29981,Area: cbr_n62.raw (F1),3.341,2147435.62538612
TG(20:0e_16:1_18:1) +NH4,C57 H108 O5,TG,54,2e,52,872.81689,Area: cbr_n62.raw (F1),22.06,6577221.62621885
TG(16:1_16:1_18:2) +NH4,C53 H94 O6,TG,50,04,25,826.70251,Area: cbr_n62.raw (F1),20.283,13007029.9696631
PG(16:0_18:2),C40 H75 O10 P,PG,34,02,52,746.50824,Area: cbr_n62.raw (F1),8.615,3808335.62208874
PI(16:0_18:1),C43 H81 O13 P,PI,34,01,52,836.53979,Area: cbr_n62.raw (F1),9.721,8801299.0136086
PI(18:1_18:2),C45 H81 O13 P,PI,36,03,52,860.53964,Area: cbr_n62.raw (F1),8.388,4657546.21428592
DG(16:1_18:1) +NH4,C37 H68 O5,DG,34,02,51,592.5046,Area: cbr_n62.raw (F1),12.935,3854806.45659559
PC(18:3_18:3),C44 H76 N O8 P,PC,36,06,52,777.52829,Area: cbr_n62.raw (F1),6.298,6308463.59156325
PI(18:2_18:2),C45 H79 O13 P,PI,36,04,52,858.52418,Area: cbr_n62.raw (F1),7.337,6676076.0142772
PS(37:1),C43 H82 N O10 P,PS,37,01,20,803.56729,Area: cbr_n62.raw (F1),9.267,25983295.1251293
PC(8:1e_9:0),C25 H50 N O7 P,PC,17,1e,50,507.33216,Area: cbr_n62.raw (F1),3.016,4437045.68325155
PC(17:1_18:1),C43 H82 N O8 P,PC,35,02,52,771.57522,Area: cbr_n62.raw (F1),10.279,7982921.02378381
CerP(d21:2_18:0+O),C39 H76 N O7 P,CerP,d39,2+O,52,701.53445,Area: cbr_n62.raw (F1),13.023,4811487.90343483
DG(18:1_18:1) +NH4,C39 H72 O5,DG,36,02,51,620.53583,Area: cbr_n62.raw (F1),15.239,3349097.70259397
TG(18:0e_16:1_18:1) +NH4,C55 H104 O5,TG,52,2e,52,844.78549,Area: cbr_n62.raw (F1),21.823,7899022.69463941
PE(12:0p_6:0),C23 H46 N O7 P,PE,18,0p,52,479.30074,Area: cbr_n62.raw (F1),2.145,4052013.33115259
PI(18:0_18:2),C45 H83 O13 P,PI,36,02,52,862.55529,Area: cbr_n62.raw (F1),9.831,2871038.83569029
TG(18:0e_16:0_18:1) +NH4,C55 H106 O5,TG,52,1e,51,846.80124,Area: cbr_n62.raw (F1),22.098,3252180.79341523
PI(16:1_16:1),C41 H75 O13 P,PI,32,02,52,806.4932,Area: cbr_n62.raw (F1),6.586,2971697.21226792
PC(17:0_18:1),C43 H84 N O8 P,PC,35,01,52,773.59063,Area: cbr_n62.raw (F1),11.809,4713905.56219336
PG(16:0_16:1),C38 H73 O10 P,PG,32,01,52,720.49272,Area: cbr_n62.raw (F1),8.252,1210004.43957569
DG(16:0_16:1) +NH4,C35 H66 O5,DG,32,01,52,566.48902,Area: cbr_n62.raw (F1),12.858,2467331.53247217
TG(4:0_16:1_16:1) +NH4,C39 H70 O6,TG,36,02,3,634.51484,Area: cbr_n62.raw (F1),14.432,21788714.0522101
LPC(16:0),C24 H50 N O7 P,LPC,16,00,51,495.33073,Area: cbr_n62.raw (F1),3.066,5465040.92444707
PE(16:1_20:1),C41 H78 N O8 P,PE,36,02,51,743.54409,Area: cbr_n62.raw (F1),8.395,5879160.40205653
PE(8:0e_10:3),C23 H42 N O7 P,PE,18,3e,52,475.26877,Area: cbr_n62.raw (F1),2.002,3257327.12005394
TG(4:0_14:1_16:1) +NH4,C37 H66 O6,TG,34,02,7,606.48365,Area: cbr_n62.raw (F1),11.976,1556423.53016428
TG(18:0e_16:1_16:0) +NH4,C53 H102 O5,TG,50,1e,52,818.77009,Area: cbr_n62.raw (F1),21.847,3030145.26535324
LPC(18:3),C26 H48 N O7 P,LPC,18,03,52,517.31521,Area: cbr_n62.raw (F1),1.938,3225202.35330936
PS(37:0),C43 H84 N O10 P,PS,37,00,24,805.58317,Area: cbr_n62.raw (F1),11.199,16093272.2541614
PS(18:3_18:3),C42 H70 N O10 P,PS,36,06,52,779.47207,Area: cbr_n62.raw (F1),5.698,2750473.95514211
PC(20:0e_14:1),C42 H84 N O7 P,PC,34,1e,52,745.59614,Area: cbr_n62.raw (F1),13.02,2519249.89728718
PC(16:1_14:1),C38 H72 N O8 P,PC,30,02,49,701.49738,Area: cbr_n62.raw (F1),6.458,1903761.20189278
CerP(t38:1+O),C38 H76 N O8 P,CerP,t38,1+O,51,705.52849,Area: cbr_n62.raw (F1),8.936,2442879.31636066
PG(16:0_18:1),C40 H77 O10 P,PG,34,01,52,748.52412,Area: cbr_n62.raw (F1),10.087,1340965.23682578
PE(10:0e_6:0),C21 H44 N O7 P,PE,16,0e,51,453.28433,Area: cbr_n62.raw (F1),3.157,3888575.28861285
PS(18:1_18:2),C42 H76 N O10 P,PS,36,03,51,785.51831,Area: cbr_n62.raw (F1),8.59,3409457.04872428
PS(18:0_18:1),C42 H80 N O10 P,PS,36,01,52,789.55022,Area: cbr_n62.raw (F1),12.214,4222354.35413784
PI(16:0_18:3),C43 H77 O13 P,PI,34,03,48,832.50871,Area: cbr_n62.raw (F1),6.871,775001.389050931
PC(19:0_18:1),C45 H88 N O8 P,PC,37,01,52,801.62203,Area: cbr_n62.raw (F1),14.269,822989.042495436
PE(20:0e_18:1),C43 H86 N O7 P,PE,38,1e,52,759.61232,Area: cbr_n62.raw (F1),17.192,1345018.9138354
PA(58:0),C61 H121 O8 P,PA,58,00,52,1012.87744,Area: cbr_n62.raw (F1),17.787,1734575.88150574
PG(18:1_18:2),C42 H77 O10 P,PG,36,03,52,772.52372,Area: cbr_n62.raw (F1),8.743,1238324.65765189
TG(20:0e_18:1_18:1) +NH4,C59 H112 O5,TG,56,2e,43,900.84825,Area: cbr_n62.raw (F1),22.317,1216609.44704079
DG(34:3e),C37 H68 O4,DG,34,3e,52,576.50967,Area: cbr_n62.raw (F1),21.382,3778670.39200292
PC(32:2),C40 H76 N O8 P,PC,32,02,52,729.52955,Area: cbr_n62.raw (F1),10.707,2206882.86808419
DG(16:1_16:1) +NH4,C35 H64 O5,DG,32,02,46,564.47336,Area: cbr_n62.raw (F1),10.628,3338573.43745426
DG(32:3e),C35 H64 O4,DG,32,3e,52,548.47855,Area: cbr_n62.raw (F1),8.248,420064.599620291
PC(25:1_8:0),C41 H80 N O8 P,PC,33,01,31,745.5594,Area: cbr_n62.raw (F1),10.185,7859361.07642164
PG(16:0_18:3),C40 H73 O10 P,PG,34,03,48,744.49265,Area: cbr_n62.raw (F1),7.157,437841.07395221
PE(20:0e_18:2),C43 H84 N O7 P,PE,38,2e,52,757.59645,Area: cbr_n62.raw (F1),16.086,1277681.88382697
DG(34:4e),C37 H66 O4,DG,34,4e,44,574.49403,Area: cbr_n62.raw (F1),8.05,1940109.84401864
PE(20:0e_18:3),C43 H82 N O7 P,PE,38,3e,52,755.58115,Area: cbr_n62.raw (F1),14.91,2672696.85828271
DG(34:4e),C37 H66 O4,DG,34,4e,40,574.49401,Area: cbr_n62.raw (F1),8.619,1280029.00699276
PS(16:0_18:1),C40 H76 N O10 P,PS,34,01,52,761.51878,Area: cbr_n62.raw (F1),9.984,3256897.54492088
PS(18:1_18:3),C42 H74 N O10 P,PS,36,04,52,783.50266,Area: cbr_n62.raw (F1),7.502,3146277.91720971
PS(16:1_18:1),C40 H74 N O10 P,PS,34,02,52,759.5028,Area: cbr_n62.raw (F1),8.222,2421584.46841582
PI(18:3_18:3),C45 H75 O13 P,PI,36,06,52,854.49286,Area: cbr_n62.raw (F1),5.592,1913736.06790153
PI(18:3_18:2),C45 H77 O13 P,PI,36,05,52,856.50853,Area: cbr_n62.raw (F1),6.3,1373089.77476661
PE(20:0_18:1),C43 H84 N O8 P,PE,38,01,52,773.59143,Area: cbr_n62.raw (F1),16.165,1893634.18503011
DG(34:3e),C37 H68 O4,DG,34,3e,49,576.50961,Area: cbr_n62.raw (F1),17.523,423921.695538791
DG(32:3e),C35 H64 O4,DG,32,3e,47,548.47841,Area: cbr_n62.raw (F1),16.074,329543.843603202
DG(20:3e),C23 H40 O4,DG,20,3e,51,380.29108,Area: cbr_n62.raw (F1),16.089,161327.239632591
PI(16:0_18:3),C43 H77 O13 P,PI,34,03,52,832.50866,Area: cbr_n62.raw (F1),7.224,2255224.36540506
PE(17:1_16:0),C38 H74 N O8 P,PE,33,01,51,703.51414,Area: cbr_n62.raw (F1),10.648,1760956.79862956
PE(20:1_18:1),C43 H82 N O8 P,PE,38,02,52,771.57627,Area: cbr_n62.raw (F1),14.148,843773.535137461
DG(32:3e),C35 H64 O4,DG,32,3e,51,548.47844,Area: cbr_n62.raw (F1),20.599,2766526.13627326
PA(36:0_22:0),C61 H121 O8 P,PA,58,00,51,1012.87736,Area: cbr_n62.raw (F1),17.006,389214.325469049
PG(16:1_16:1),C38 H71 O10 P,PG,32,02,52,718.47729,Area: cbr_n62.raw (F1),6.863,299776.809206214
TG(20:1e_16:1_18:1) +NH4,C57 H106 O5,TG,54,3e,44,870.8007,Area: cbr_n62.raw (F1),21.789,115516.497803883
PI(16:1_18:1),C43 H79 O13 P,PI,34,02,42,834.52463,Area: cbr_n62.raw (F1),8.256,1584779.03512287
TG(18:0e_16:1_16:1) +NH4,C53 H100 O5,TG,50,2e,51,816.7543,Area: cbr_n62.raw (F1),21.558,3921398.70639213
PI(18:0_18:1),C45 H85 O13 P,PI,36,01,52,864.57108,Area: cbr_n62.raw (F1),11.899,3244132.04751326
PE(20:2e_19:0),C44 H86 N O7 P,PE,39,2e,50,771.61153,Area: cbr_n62.raw (F1),13.506,692291.159986461
PC(36:1e),C44 H88 N O7 P,PC,36,1e,52,773.6272,Area: cbr_n62.raw (F1),15.351,1051220.3746888
PE(16:1_14:0),C35 H68 N O8 P,PE,30,01,52,661.46658,Area: cbr_n62.raw (F1),7.695,812289.285757469
PC(17:0_18:1),C43 H84 N O8 P,PC,35,01,22,773.59063,Area: cbr_n62.raw (F1),12.449,3370895.88999179
Cer(d16:1_20:0),C36 H71 N O3,Cer,d36,1,52,565.54168,Area: cbr_n62.raw (F1),13.964,605271.68977624
PE(16:0e_16:1),C37 H74 N O7 P,PE,32,1e,52,675.51863,Area: cbr_n62.raw (F1),10.996,632136.73857929
PC(18:2_14:1),C40 H74 N O8 P,PC,32,03,52,727.51294,Area: cbr_n62.raw (F1),6.722,1597392.77954394
PC(6:0_22:1),C36 H70 N O8 P,PC,28,01,52,675.48179,Area: cbr_n62.raw (F1),6.055,669859.252500211
PC(16:0_12:0),C36 H72 N O8 P,PC,28,00,52,677.49737,Area: cbr_n62.raw (F1),7.272,528487.129858761
DG(32:3e),C35 H64 O4,DG,32,3e,52,548.47856,Area: cbr_n62.raw (F1),7.901,991052.287607615
PA(43:2),C46 H87 O8 P,PA,43,02,50,798.60949,Area: cbr_n62.raw (F1),8.596,5252042.87627281
PG(16:0_18:3),C40 H73 O10 P,PG,34,03,52,744.49252,Area: cbr_n62.raw (F1),7.546,1722385.94985875
PS(37:2),C43 H80 N O10 P,PS,37,02,34,801.55171,Area: cbr_n62.raw (F1),7.876,5378866.57654138
PG(18:1_18:3) +NH4,C42 H75 O10 P,PG,36,04,52,770.50816,Area: cbr_n62.raw (F1),7.644,1093680.74445195
PG(18:1_18:1),C42 H79 O10 P,PG,36,02,52,774.53955,Area: cbr_n62.raw (F1),10.221,410607.227143466
TG(18:0_22:1_22:6),C65 H112 O6,TG,62,07,22,988.85091,Area: cbr_n62.raw (F1),17.794,1174022.47781983
PI(18:0_18:2),C45 H83 O13 P,PI,36,02,22,862.55613,Area: cbr_n62.raw (F1),10.238,1161537.25442154
PS(16:1_20:4),C42 H72 N O10 P,PS,36,05,52,781.4874,Area: cbr_n62.raw (F1),6.441,665157.145191505
PI(16:1_18:3),C43 H75 O13 P,PI,34,04,52,830.49302,Area: cbr_n62.raw (F1),6.057,1017949.85241092
DG(20:2e),C23 H42 O4,DG,20,2e,51,382.30693,Area: cbr_n62.raw (F1),17.526,230115.400427843
CerP(d21:2_18:0+O),C39 H76 N O7 P,CerP,d39,2+O,51,701.53416,Area: cbr_n62.raw (F1),11.466,637254.376148099
Cer(d17:0_21:1),C38 H75 N O3,Cer,d38,1,52,593.57282,Area: cbr_n62.raw (F1),15.893,281918.258784341
PS(14:1e_19:1),C39 H74 N O9 P,PS,33,2e,52,731.50848,Area: cbr_n62.raw (F1),6.473,344415.730182642
TG(20:0e_16:0_18:1) +NH4,C57 H110 O5,TG,54,1e,44,874.83243,Area: cbr_n62.raw (F1),22.356,1481288.62573263
PS(37:2),C43 H80 N O10 P,PS,37,02,39,801.55173,Area: cbr_n62.raw (F1),8.306,3443504.44889817
PE(18:0p_18:2),C41 H78 N O7 P,PE,36,2p,3,727.55018,Area: cbr_n62.raw (F1),13.542,3513291.5422156
DG(36:5e),C39 H68 O4,DG,36,5e,52,600.50971,Area: cbr_n62.raw (F1),8.388,827722.337036132
PC(18:0e_18:3),C44 H84 N O7 P,PC,36,3e,52,769.59575,Area: cbr_n62.raw (F1),11.887,2254268.33709833
PE(20:1e_18:1),C43 H84 N O7 P,PE,38,2e,52,757.5965,Area: cbr_n62.raw (F1),15.479,377345.812711243
PE(16:0_16:0),C37 H74 N O8 P,PE,32,00,52,691.51348,Area: cbr_n62.raw (F1),11.49,1014370.48628657
PE(12:0p_24:1),C41 H80 N O7 P,PE,36,1p,52,729.56551,Area: cbr_n62.raw (F1),13.336,128976.527346545
DG(36:6e),C39 H66 O4,DG,36,6e,52,598.49419,Area: cbr_n62.raw (F1),7.356,978069.621806419
Cer(d16:1_20:0),C36 H71 N O3,Cer,d36,1,42,565.54162,Area: cbr_n62.raw (F1),13.579,225112.296406417
DG(34:4e),C37 H66 O4,DG,34,4e,52,574.49401,Area: cbr_n62.raw (F1),9.691,1704970.63574694
PE(17:0_19:0),C41 H82 N O8 P,PE,36,00,52,747.57512,Area: cbr_n62.raw (F1),11.645,792377.666260032
DG(34:3e),C37 H68 O4,DG,34,3e,52,576.50972,Area: cbr_n62.raw (F1),11.682,1549190.89243317
PC(20:0_18:1),C46 H90 N O8 P,PC,38,01,51,815.63768,Area: cbr_n62.raw (F1),15.939,1632577.40468558
PE(20:0p_18:1),C43 H84 N O7 P,PE,38,1p,52,757.59658,Area: cbr_n62.raw (F1),16.939,1031292.9265773
PE(8:0e_10:0),C23 H48 N O7 P,PE,18,0e,51,481.31561,Area: cbr_n62.raw (F1),4.177,779359.773216104
DG(32:4e),C35 H62 O4,DG,32,4e,52,546.4629,Area: cbr_n62.raw (F1),7.858,265042.807212748
PS(18:1_18:2),C42 H76 N O10 P,PS,36,03,40,785.51799,Area: cbr_n62.raw (F1),9.189,1689760.58233866
DG(32:4e),C35 H62 O4,DG,32,4e,50,546.46293,Area: cbr_n62.raw (F1),6.594,522540.887558624
PE(9:0_24:2),C38 H72 N O8 P,PE,33,02,52,701.49797,Area: cbr_n62.raw (F1),8.729,840545.800450703
TG(20:1e_18:1_18:1) +NH4,C59 H110 O5,TG,56,3e,40,898.83216,Area: cbr_n62.raw (F1),22.017,1311383.30241928
PE(18:1e_18:3),C41 H76 N O7 P,PE,36,4e,52,725.5341,Area: cbr_n62.raw (F1),11.956,2273803.43365283
LPC(14:0),C22 H46 N O7 P,LPC,14,00,52,467.29971,Area: cbr_n62.raw (F1),2.029,345231.397079185
PG(16:1_18:3),C40 H71 O10 P,PG,34,04,52,742.47718,Area: cbr_n62.raw (F1),6.302,447115.884861501
LPC(18:0),C26 H54 N O7 P,LPC,18,00,51,523.36211,Area: cbr_n62.raw (F1),4.11,926638.387038882
Cer(d14:1_20:0),C34 H67 N O3,Cer,d34,1,52,537.51067,Area: cbr_n62.raw (F1),11.316,1370654.25499912
CerP(t17:1_18:2+2O),C35 H66 N O9 P,CerP,t35,3+2O,51,675.44533,Area: cbr_n62.raw (F1),3.978,207905.47648346
PI(18:0_18:3),C45 H81 O13 P,PI,36,03,49,860.53988,Area: cbr_n62.raw (F1),8.955,2576132.62474795
LPC(14:1),C22 H44 N O7 P,LPC,14,01,52,465.28412,Area: cbr_n62.raw (F1),1.645,210185.236001694
DG(34:3e),C37 H68 O4,DG,34,3e,38,576.5097,Area: cbr_n62.raw (F1),21.698,535216.986498357
PE(34:3e),C39 H74 N O7 P,PE,34,3e,52,699.51853,Area: cbr_n62.raw (F1),10.022,844900.093316407
PC(38:2),C46 H88 N O8 P,PC,38,02,30,813.62198,Area: cbr_n62.raw (F1),14.424,1013182.2768677
PS(26:2e),C32 H60 N O9 P,PS,26,2e,52,633.3989,Area: cbr_n62.raw (F1),4.021,113361.719633596
PC(8:1e_9:0),C25 H50 N O7 P,PC,17,1e,51,507.33094,Area: cbr_n62.raw (F1),2.553,460807.095906005
PG(18:3_18:2),C42 H73 O10 P,PG,36,05,52,768.4926,Area: cbr_n62.raw (F1),6.555,604147.64021633
CerP(t17:1_16:1+2O),C33 H64 N O9 P,CerP,t33,2+2O,51,649.42989,Area: cbr_n62.raw (F1),3.93,160241.882730128
PC(33:4),C41 H74 N O8 P,PC,33,04,44,739.51204,Area: cbr_n62.raw (F1),11.649,1961219.19226935
PE(8:0e_10:0),C23 H48 N O7 P,PE,18,0e,41,481.31638,Area: cbr_n62.raw (F1),3.054,525346.802808672
PS(38:4),C44 H78 N O10 P,PS,38,04,52,811.53337,Area: cbr_n62.raw (F1),11.881,1211321.81086378
PS(16:1_16:1),C38 H70 N O10 P,PS,32,02,52,731.47239,Area: cbr_n62.raw (F1),6.738,155218.100961928
PS(36:4),C42 H74 N O10 P,PS,36,04,51,783.50252,Area: cbr_n62.raw (F1),9.766,1338658.43906832
PS(38:3e),C44 H82 N O9 P,PS,38,3e,52,799.56987,Area: cbr_n62.raw (F1),15.627,816263.507559449
DG(34:5e),C37 H64 O4,DG,34,5e,46,572.47836,Area: cbr_n62.raw (F1),7.541,508471.612602006
PS(16:1_18:2),C40 H72 N O10 P,PS,34,03,46,757.48783,Area: cbr_n62.raw (F1),7.023,140360.361988653
DG(20:3e),C23 H40 O4,DG,20,3e,26,380.2911,Area: cbr_n62.raw (F1),16.306,606873.322176875
PS(18:1_20:2),C44 H80 N O10 P,PS,38,03,52,813.54918,Area: cbr_n62.raw (F1),14.183,864412.198482591
PS(18:1_20:4),C44 H76 N O10 P,PS,38,05,51,809.51665,Area: cbr_n62.raw (F1),10.129,1585620.39370171
PE(20:0_18:2),C43 H82 N O8 P,PE,38,02,29,771.57622,Area: cbr_n62.raw (F1),14.804,517278.867449655
Oleic acid,C18 H34 O2,NA,NA,NA,51,282.2554,Area: cbr_n62.raw (F1),3.138,241466.211825091
PI(16:0_14:1),C39 H73 O13 P,PI,30,01,38,780.47636,Area: cbr_n62.raw (F1),6.479,79465.9135519581
PS(36:3),C42 H76 N O10 P,PS,36,03,52,785.51813,Area: cbr_n62.raw (F1),11.652,1143008.83693411
LPC(18:3),C26 H48 N O7 P,LPC,18,03,6,517.31522,Area: cbr_n62.raw (F1),2.221,294853.70051682
PS(38:4e),C44 H80 N O9 P,PS,38,4e,52,797.55428,Area: cbr_n62.raw (F1),15.283,727608.029362234
PS(33:0),C39 H76 N O10 P,PS,33,00,49,749.52033,Area: cbr_n62.raw (F1),7.383,791459.243822978
PE(8:1e_9:0),C22 H44 N O7 P,PE,17,1e,51,465.28449,Area: cbr_n62.raw (F1),2.675,149752.627204576
PS(24:1e),C30 H58 N O9 P,PS,24,1e,51,607.38327,Area: cbr_n62.raw (F1),4.014,25877.0251696909
PG(18:1_18:3) +NH4,C42 H75 O10 P,PG,36,04,11,770.51001,Area: cbr_n62.raw (F1),7.448,120219.304592809
PS(38:5e),C44 H78 N O9 P,PS,38,5e,52,795.53864,Area: cbr_n62.raw (F1),12.394,685313.556930969
