Name,Formula,Molecular Weight,RT [min],Area (Max.),sample,area,count,RT,Class,FA,FA Group Key,TC,DB,Batch,StandardsName,Conc,log.conc,slope,intercept,adj.r.squared,conc_mgmL
LPC(18:1),C26 H52 N O7 P,521.34592,3.541,8161572.83019903,Area: Standard5B2.raw (F10),8161572.83019903,2,3.061,LPC,18:01,18_1,18,1,B2,5,10,1,1.1514973857308464,6.473710089244089,0.9351493829908879,1.4629130251732372
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard5B2.raw (F10),97806378.3722743,32,3.061,LPC,18:01,18_1,18,1,B2,5,10,1,1.1514973857308464,6.473710089244089,0.9351493829908879,3.7326456289954533
Cer(d18:1_17:0),C35 H69 N O3,551.52663,12.306,38110154.6493222,Area: Standard5B2.raw (F10),5277757.77167015,24,12.21,Cer,18:1_17:0,35_1,35,1,B2,5,10,1,1.388959924498786,5.075097075453331,0.9746953525059584,3.274067357144924
DG(18:1-18:1),C39 H72 O5,620.53639,15.437,91630618.2585435,Area: Standard5B2.raw (F10),4762199.58994737,19,15.418,DG,18:1_18:1,36_2,36,2,B2,5,10,1,1.3351249758514996,5.464299097679578,0.8433461549480881,2.4816161971226802
SM(35_1),C40 H81 N2 O6 P,716.5815,10.127,13983290.9205087,Area: Standard5B2.raw (F10),3105365.49903632,21,9.98,SM,18:1_17:0,35_1,35,1,B2,5,10,1,1.3012163894517386,4.904167365673177,0.9686695309188228,3.3883889170720196
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: Standard5B2.raw (F10),8865714.89152541,32,11.847,PE,16:0_18:1,34_1,34,1,B2,5,10,1,1.1014497904278249,6.106339668906492,0.9856622053798972,2.1465861707265694
PE(18:0_18:1),C41 H80 N O7 P,729.56465,15.276,249056022.187329,Area: Standard5B2.raw (F10),61558123.5590841,19,15.36,PEp,18:0_18:1,36_1,36,1,B2,5,10,1,1.2001129425328938,6.357351219803734,0.9917672842791492,3.2975051311025467
PS(34:0_17:0),C40 H78 N O10 P,763.53502,12.132,95165866.063891,Area: Standard5B2.raw (F10),28451927.1609994,26,12.03,PS,17:0_17:0,34_0,34,0,B2,5,10,1,1.2915151854022864,5.825843343862908,0.9703827288242113,3.528040797028393
PG(18:0_18:1),C42 H81 O10 P,776.55601,12.534,29699714.7281424,Area: Standard5B2.raw (F10),1574579.22353985,24,12.404,PG,18:1_18:0,36_1,36,1,B2,5,10,1,1.0755360545477224,5.401784884925321,0.9555678192357304,2.094928165517373
PC(18:1_18:1),C44 H84 N O8 P,785.58981000000006,11.277,998620005.120719,Area: Standard5B2.raw (F10),56172483.9915058,20,11.462,PC,18:1_18:1,36_2,36,2,B2,5,10,1,1.0894256306157475,6.926922552035866,0.9858610700281698,2.1277769967997107
PI(34:2),C43 H79 O13 P,834.52455,8.354,88157750.9432684,Area: Standard5B2.raw (F10),5008022.37146714,29,8.31,PI,16:0_18:2,34_2,34,2,B2,5,10,1,1.1555604689652457,5.798524649989888,0.9802943951471738,2.181103126126217
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80726,21.343,310832446.923526,Area: Standard5B2.raw (F10),55431048.2354788,24,21.312,TG,18:1_18:1_18:1,54_3,54,3,B2,5,10,1,0.9082195262353197,6.844702757262392,0.9971344712250704,2.6909766959709076
FA(18:1),C18 H34 O2,282.25545,4.875,699159.20364585,Area: Standard6B2.raw (F14),699159.20364585,16,4.84,FA,18:01,18_1,18,1,B2,6,50,1.6989700043360187,1.7586430102078283,2.7536248542674304,0.9644640678545562,5.79837327698101
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard6B2.raw (F14),363439202.422547,32,3.061,LPC,18:01,18_1,18,1,B2,6,50,1.6989700043360187,1.1514973857308464,6.473710089244089,0.9351493829908879,6.123788848437377
Cer(d18:1_17:0),C35 H69 N O3,551.52663,12.306,38110154.6493222,Area: Standard6B2.raw (F14),26786465.1391042,24,12.21,Cer,18:1_17:0,35_1,35,1,B2,6,50,1.6989700043360187,1.388959924498786,5.075097075453331,0.9746953525059584,5.44088950903073
DG(18:1-18:1),C39 H72 O5,620.53639,15.437,91630618.2585435,Area: Standard6B2.raw (F14),60336417.66414,19,15.418,DG,18:1_18:1,36_2,36,2,B2,6,50,1.6989700043360187,1.3351249758514996,5.464299097679578,0.8433461549480881,5.668242502418461
SM(35_1),C40 H81 N2 O6 P,716.5815,10.127,13983290.9205087,Area: Standard6B2.raw (F14),13983290.9205087,21,9.98,SM,18:1_17:0,35_1,35,1,B2,6,50,1.6989700043360187,1.3012163894517386,4.904167365673177,0.9686695309188228,5.598923736618624
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: Standard6B2.raw (F14),117320556.433279,32,11.847,PE,16:0_18:1,34_1,34,1,B2,6,50,1.6989700043360187,1.1014497904278249,6.106339668906492,0.9856622053798972,5.943081724159021
PE(18:0_18:1),C41 H80 N O7 P,729.56656,15.619,249383434.16463,Area: Standard6B2.raw (F14),249383434.16463,13,15.36,PEp,18:0_18:1,36_1,36,1,B2,6,50,1.6989700043360187,1.2001129425328938,6.357351219803734,0.9917672842791492,5.470866621030045
PS(34:0_17:0),C40 H78 N O10 P,763.53502,12.132,95165866.063891,Area: Standard6B2.raw (F14),95165866.063891,26,12.03,PS,17:0_17:0,34_0,34,0,B2,6,50,1.6989700043360187,1.2915151854022864,5.825843343862908,0.9703827288242113,5.294951468449123
PG(18:0_18:1),C42 H81 O10 P,776.55601,12.534,29699714.7281424,Area: Standard6B2.raw (F14),17854635.7321804,24,12.404,PG,18:1_18:0,36_1,36,1,B2,6,50,1.6989700043360187,1.0755360545477224,5.401784884925321,0.9555678192357304,5.584757426730422
PC(18:1_18:1),C44 H84 N O8 P,785.59252,11.635,775555808.591492,Area: Standard6B2.raw (F14),696966019.971588,12,11.462,PC,18:1_18:1,36_2,36,2,B2,6,50,1.6989700043360187,1.0894256306157475,6.926922552035866,0.9858610700281698,5.806571197492908
PC(18:1_20:4),C46 H82 N O8 P,807.57401,11.819,12196817.9939931,Area: Standard6B2.raw (F14),12196817.9939931,6,11.498,PCp,18:1_20:4,38_4,38,4,B2,6,50,1.6989700043360187,NaN,7.086246543142058,0,NaN
