Name,LSFormula,RT,MainIon,Calc Mass,Class,FA,FA Group Key,C,H,N,O,P,S,Formula
LPC(18:1),C26 H52 O7 N1 P1,1.942,+H,521.3481,LPC,18:1,18:1,26,52,1,7,1,,C26H52NO7P
LPC(18:1),C26 H52 O7 N1 P1,2.963,+H,521.3481,LPC,18:1,18:1,26,52,1,7,1,,C26H52NO7P
LPC(18:1),C26 H52 O7 N1 P1,2.976,+H,521.3481,LPC,18:1,18:1,26,52,1,7,1,,C26H52NO7P
LPC(18:1),C26 H52 O7 N1 P1,3.293,+H,521.3481,LPC,18:1,18:1,26,52,1,7,1,,C26H52NO7P
LPC(18:2),C26 H50 O7 N1 P1,1.566,+H,519.3325,LPC,18:2,18:2,26,50,1,7,1,,C26H50NO7P
LPC(18:2),C26 H50 O7 N1 P1,2.327,+H,519.3325,LPC,18:2,18:2,26,50,1,7,1,,C26H50NO7P
LPC(18:3),C26 H48 O7 N1 P1,1.902,+H,517.3168,LPC,18:3,18:3,26,48,1,7,1,,C26H48NO7P
LPC(18:4),C26 H46 O7 N1 P1,1.659,+H,515.3012,LPC,18:4,18:4,26,46,1,7,1,,C26H46NO7P
LPC(20:1),C28 H56 O7 N1 P1,4.009,+H,549.3794,LPC,20:1,20:1,28,56,1,7,1,,C28H56NO7P
PC(16:0_12:0),C36 H72 O8 N1 P1,7.213,+H,677.4996,PC,16:0_12:0,28:0,36,72,1,8,1,,C36H72NO8P
PC(16:0_14:0),C38 H76 O8 N1 P1,8.867,+H,705.5309,PC,16:0_14:0,30:0,38,76,1,8,1,,C38H76NO8P
PC(16:0_16:0),C40 H80 O8 N1 P1,10.942,+H,733.5622,PC,16:0_16:0,32:0,40,80,1,8,1,,C40H80NO8P
PC(16:0_16:1),C40 H78 O8 N1 P1,8.788,+H,731.5465,PC,16:0_16:1,32:1,40,78,1,8,1,,C40H78NO8P
PC(16:0_16:1),C40 H78 O8 N1 P1,9.038,+H,731.5465,PC,16:0_16:1,32:1,40,78,1,8,1,,C40H78NO8P
PC(16:0_16:1),C40 H78 O8 N1 P1,9.322,+H,731.5465,PC,16:0_16:1,32:1,40,78,1,8,1,,C40H78NO8P
PC(16:0_16:1),C40 H78 O8 N1 P1,9.533,+H,731.5465,PC,16:0_16:1,32:1,40,78,1,8,1,,C40H78NO8P
PC(16:0_18:1),C42 H82 O8 N1 P1,11.088,+H,759.5778,PC,16:0_18:1,34:1,42,82,1,8,1,,C42H82NO8P
PC(16:0_18:1),C42 H82 O8 N1 P1,11.164,+H,759.5778,PC,16:0_18:1,34:1,42,82,1,8,1,,C42H82NO8P
PC(16:0_18:1),C42 H82 O8 N1 P1,11.394,+H,759.5778,PC,16:0_18:1,34:1,42,82,1,8,1,,C42H82NO8P
PC(16:0_18:3),C42 H78 O8 N1 P1,8.36,+H,755.5465,PC,16:0_18:3,34:3,42,78,1,8,1,,C42H78NO8P
PC(16:0_18:3),C42 H78 O8 N1 P1,8.994,+H,755.5465,PC,16:0_18:3,34:3,42,78,1,8,1,,C42H78NO8P
PC(16:1),C24 H46 O8 N1 P1,1.315,+H,507.2961,PC,16:1,16:1,24,46,1,8,1,,C24H46NO8P
PC(16:1_14:0),C38 H74 O8 N1 P1,7.349,+H,703.5152,PC,16:1_14:0,30:1,38,74,1,8,1,,C38H74NO8P
PC(16:1_14:1),C38 H72 O8 N1 P1,6.327,+H,701.4996,PC,16:1_14:1,30:2,38,72,1,8,1,,C38H72NO8P
PC(16:1_16:1),C40 H76 O8 N1 P1,7.466,+H,729.5309,PC,16:1_16:1,32:2,40,76,1,8,1,,C40H76NO8P
PC(16:1_16:1),C40 H76 O8 N1 P1,8.615,+H,729.5309,PC,16:1_16:1,32:2,40,76,1,8,1,,C40H76NO8P
PC(16:1_17:0),C41 H80 O8 N1 P1,9.577,+H,745.5622,PC,16:1_17:0,33:1,41,80,1,8,1,,C41H80NO8P
PC(16:1_18:1),C42 H80 O8 N1 P1,9.175,+H,757.5622,PC,16:1_18:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(16:1_18:1),C42 H80 O8 N1 P1,9.233,+H,757.5622,PC,16:1_18:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(16:1_18:1),C42 H80 O8 N1 P1,9.261,+H,757.5622,PC,16:1_18:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(16:1_18:1),C42 H80 O8 N1 P1,9.298,+H,757.5622,PC,16:1_18:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(16:1_18:1),C42 H80 O8 N1 P1,9.337,+H,757.5622,PC,16:1_18:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(16:1_18:1),C42 H80 O8 N1 P1,9.433,+H,757.5622,PC,16:1_18:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(16:1_18:1),C42 H80 O8 N1 P1,9.549,+H,757.5622,PC,16:1_18:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(16:1_18:1),C42 H80 O8 N1 P1,27.5,+H,757.5622,PC,16:1_18:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(16:1_18:2),C42 H78 O8 N1 P1,7.817,+H,755.5465,PC,16:1_18:2,34:3,42,78,1,8,1,,C42H78NO8P
PC(16:1_18:3),C42 H76 O8 N1 P1,6.817,+H,753.5309,PC,16:1_18:3,34:4,42,76,1,8,1,,C42H76NO8P
PC(16:2_18:2),C42 H76 O8 N1 P1,7.601,+H,753.5309,PC,16:2_18:2,34:4,42,76,1,8,1,,C42H76NO8P
PC(17:0_18:1),C43 H84 O8 N1 P1,11.742,+H,773.5935,PC,17:0_18:1,35:1,43,84,1,8,1,,C43H84NO8P
PC(17:0_18:1),C43 H84 O8 N1 P1,12.395,+H,773.5935,PC,17:0_18:1,35:1,43,84,1,8,1,,C43H84NO8P
PC(17:1_18:1),C43 H82 O8 N1 P1,10.188,+H,771.5778,PC,17:1_18:1,35:2,43,82,1,8,1,,C43H82NO8P
PC(18:0_16:0),C42 H84 O8 N1 P1,13.467,+H,761.5935,PC,18:0_16:0,34:0,42,84,1,8,1,,C42H84NO8P
PC(18:0_17:0),C43 H86 O8 N1 P1,12.679,+H,775.6091,PC,18:0_17:0,35:0,43,86,1,8,1,,C43H86NO8P
PC(18:0_18:1),C44 H86 O8 N1 P1,13.65,+H,787.6091,PC,18:0_18:1,36:1,44,86,1,8,1,,C44H86NO8P
PC(18:0_18:2),C44 H84 O8 N1 P1,11.385,+H,785.5935,PC,18:0_18:2,36:2,44,84,1,8,1,,C44H84NO8P
PC(18:0_18:3),C44 H82 O8 N1 P1,10.295,+H,783.5778,PC,18:0_18:3,36:3,44,82,1,8,1,,C44H82NO8P
PC(18:0e_18:3),C44 H84 O7 N1 P1,11.858,+H,769.5985,PC,18:0e_18:3,36:3e,44,84,1,7,1,,C44H84NO7P
